LÄN;KOM;VALDISTRIKT;LÄN;KOMMUN;VALDISTRIKT;M tal;M proc;C tal;C proc;FP tal;FP proc;KD tal;KD proc;S tal;S proc;V tal;V proc;MP tal;MP proc;SD tal;SD proc;FI tal;FI proc;1016 tal;1016 proc;1054 tal;1054 proc;1108 tal;1108 proc;1124 tal;1124 proc;1127 tal;1127 proc;1130 tal;1130 proc;1155 tal;1155 proc;1156 tal;1156 proc;1161 tal;1161 proc;1183 tal;1183 proc;1188 tal;1188 proc;1191 tal;1191 proc;1192 tal;1192 proc;1193 tal;1193 proc;1203 tal;1203 proc;1224 tal;1224 proc;1225 tal;1225 proc;1227 tal;1227 proc;1228 tal;1228 proc;1240 tal;1240 proc;1241 tal;1241 proc;1244 tal;1244 proc;1245 tal;1245 proc;1246 tal;1246 proc;1247 tal;1247 proc;1248 tal;1248 proc;1249 tal;1249 proc;1250 tal;1250 proc;1251 tal;1251 proc;1252 tal;1252 proc;1253 tal;1253 proc;1254 tal;1254 proc;1255 tal;1255 proc;1259 tal;1259 proc;1262 tal;1262 proc;1263 tal;1263 proc;339 tal;339 proc;450 tal;450 proc;470 tal;470 proc;555 tal;555 proc;ADK tal;ADK proc;AfR tal;AfR proc;AIL tal;AIL proc;AltBr tal;AltBr proc;ALTER tal;ALTER proc;ALV tal;ALV proc;Ar P tal;Ar P proc;BAP tal;BAP proc;BEP tal;BEP proc;BJP tal;BJP proc;BoA tal;BoA proc;Bollp tal;Bollp proc;BOP tal;BOP proc;Bov tal;Bov proc;BP tal;BP proc;BUSP tal;BUSP proc;ByP tal;ByP proc;BÅP tal;BÅP proc;DHA tal;DHA proc;DiD tal;DiD proc;DIR tal;DIR proc;DjuP tal;DjuP proc;DKL tal;DKL proc;DP tal;DP proc;E-aP tal;E-aP proc;ENH tal;ENH proc;EP tal;EP proc;FAP tal;FAP proc;FaV tal;FaV proc;ffs tal;ffs proc;FHT tal;FHT proc;FiA tal;FiA proc;Fil tal;Fil proc;FJK tal;FJK proc;FL tal;FL proc;FNO tal;FNO proc;FOV tal;FOV proc;Fpar tal;Fpar proc;FPO tal;FPO proc;FR tal;FR proc;FRAK tal;FRAK proc;FramP tal;FramP proc;Frams tal;Frams proc;FraP tal;FraP proc;FraPa tal;FraPa proc;FreD tal;FreD proc;Frmp tal;Frmp proc;Frpa tal;Frpa proc;Frpar tal;Frpar proc;FRSP tal;FRSP proc;FSPV tal;FSPV proc;Fsteg tal;Fsteg proc;Ftid tal;Ftid proc;FÖL tal;FÖL proc;FöNyL tal;FöNyL proc;GL tal;GL proc;GPS tal;GPS proc;GÖF tal;GÖF proc;HEL tal;HEL proc;HiT tal;HiT proc;HOP tal;HOP proc;HP tal;HP proc;HS tal;HS proc;Häp tal;Häp proc;Härjp tal;Härjp proc;K tal;K proc;Kap tal;Kap proc;KB tal;KB proc;Kbabo tal;Kbabo proc;KBO tal;KBO proc;KF tal;KF proc;KiM tal;KiM proc;Kirp tal;Kirp proc;KL tal;KL proc;Klip tal;Klip proc;KNEG tal;KNEG proc;KNU tal;KNU proc;KomBä tal;KomBä proc;Komm. tal;Komm. proc;KOMMU tal;KOMMU proc;KomP tal;KomP proc;Komv tal;Komv proc;Kons tal;Kons proc;KOSA tal;KOSA proc;Kp tal;Kp proc;KrVP tal;KrVP proc;KV tal;KV proc;KvP tal;KvP proc;KVS tal;KVS proc;KVäl tal;KVäl proc;KXP tal;KXP proc;Lap tal;Lap proc;LBPO tal;LBPO proc;LFIB tal;LFIB proc;Lhp tal;Lhp proc;LMO tal;LMO proc;L-P tal;L-P proc;LP tal;LP proc;LP.NU tal;LP.NU proc;m s p tal;m s p proc;MaP tal;MaP proc;MBP tal;MBP proc;Mfp tal;Mfp proc;MFR tal;MFR proc;ML tal;ML proc;MOD tal;MOD proc;MOP tal;MOP proc;N tal;N proc;NB tal;NB proc;NE tal;NE proc;NKE tal;NKE proc;NL tal;NL proc;NLV tal;NLV proc;NOR tal;NOR proc;NP tal;NP proc;NS tal;NS proc;NyaU tal;NyaU proc;NÄTIM tal;NÄTIM proc;Ofa tal;Ofa proc;(OP) tal;(OP) proc;OPA tal;OPA proc;OPi tal;OPi proc;PA tal;PA proc;PF tal;PF proc;PNF tal;PNF proc;PP tal;PP proc;PP(N) tal;PP(N) proc;rd tal;rd proc;REAL tal;REAL proc;Refo tal;Refo proc;Ren tal;Ren proc;REP tal;REP proc;RMS tal;RMS proc;RNPA tal;RNPA proc;RNPV tal;RNPV proc;ROOP tal;ROOP proc;ROP tal;ROP proc;ROSP tal;ROSP proc;RS tal;RS proc;Rättv tal;Rättv proc;Röp tal;Röp proc;SAFE tal;SAFE proc;SBÄ tal;SBÄ proc;SDL tal;SDL proc;SFS tal;SFS proc;SIM tal;SIM proc;SJP tal;SJP proc;SJVB tal;SJVB proc;SjvV tal;SjvV proc;SKL tal;SKL proc;SkolP tal;SkolP proc;SKÅ tal;SKÅ proc;SL tal;SL proc;SMD tal;SMD proc;SN tal;SN proc;SocD tal;SocD proc;SOC.P tal;SOC.P proc;SOCV tal;SOCV proc;SoLp tal;SoLp proc;SP tal;SP proc;SPA tal;SPA proc;SPI tal;SPI proc;SPP tal;SPP proc;SPVG tal;SPVG proc;SPÖ tal;SPÖ proc;SR tal;SR proc;STRP tal;STRP proc;S-V tal;S-V proc;SV tal;SV proc;SVD tal;SVD proc;SVKOP tal;SVKOP proc;SVP tal;SVP proc;SÖS tal;SÖS proc;TIA tal;TIA proc;TJP tal;TJP proc;TJÖP tal;TJÖP proc;ToP tal;ToP proc;TuP tal;TuP proc;UddP tal;UddP proc;Union tal;Union proc;ursp tal;ursp proc;USP tal;USP proc;UtvP tal;UtvP proc;VaP tal;VaP proc;VB tal;VB proc;VDM tal;VDM proc;VF tal;VF proc;Vfp tal;Vfp proc;VFÅ tal;VFÅ proc;VOXH tal;VOXH proc;VSKB tal;VSKB proc;VTL tal;VTL proc;VV tal;VV proc;VägV tal;VägV proc;WAX tal;WAX proc;ÅHP tal;ÅHP proc;Ångf tal;Ångf proc;ÅSP tal;ÅSP proc;Ö tal;Ö proc;ÖFA tal;ÖFA proc;ÖHGP tal;ÖHGP proc;ÖHL tal;ÖHL proc;Öland tal;Öland proc;Ölp tal;Ölp proc;ÖP tal;ÖP proc;ÖrP tal;ÖrP proc;ÖstP tal;ÖstP proc;ÖVR tal;ÖVR proc;BLANK tal;BLANK proc;OG tal;OG proc;Rost Giltiga;Rostande;Rostb;VDT
1;14;101;Stockholms län;Upplands Väsby;Övra Runby;201;19,55;33;3,21;66;6,42;42;4,09;327;31,81;74;7,2;160;15,56;71;6,91;7;0,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;3,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,29;8;0,77;2;0,19;1028;1038;1391;74,62
1;14;102;Stockholms län;Upplands Väsby;Mälaren;227;23,79;26;2,73;60;6,29;34;3,56;281;29,45;51;5,35;157;16,46;64;6,71;3;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,42;12;1,24;;;954;966;1157;83,49
1;14;120;Stockholms län;Upplands Väsby;Edssjön;205;17,24;28;2,35;65;5,47;42;3,53;444;37,34;93;7,82;148;12,45;71;5,97;2;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;6,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;0,76;15;1,24;1;0,08;1189;1205;1611;74,8
1;14;313;Stockholms län;Upplands Väsby;Odenslunda;344;35,35;38;3,91;74;7,61;55;5,65;252;25,9;39;4,01;79;8,12;49;5,04;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;3,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,31;14;1,42;;;973;987;1206;81,84
1;14;314;Stockholms län;Upplands Väsby;Norrviken;493;36,82;72;5,38;193;14,41;102;7,62;211;15,76;34;2,54;144;10,75;52;3,88;3;0,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;2,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,37;12;0,89;1;0,07;1339;1352;1548;87,34
1;14;315;Stockholms län;Upplands Väsby;Sjukyrkoberget;356;34,13;53;5,08;80;7,67;54;5,18;312;29,91;32;3,07;70;6,71;45;4,31;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;3,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,19;7;0,67;;;1043;1050;1183;88,76
1;14;316;Stockholms län;Upplands Väsby;Grimstaby;528;34,33;44;2,86;160;10,4;63;4,1;412;26,79;58;3,77;120;7,8;90;5,85;1;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;2,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0,65;22;1,41;;;1538;1560;1809;86,24
1;14;317;Stockholms län;Upplands Väsby;Gamla Bollstanäs;396;39,29;38;3,77;108;10,71;51;5,06;201;19,94;39;3,87;82;8,13;61;6,05;3;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;2,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,4;5;0,49;1;0,1;1008;1014;1187;85,43
1;14;1;Stockholms län;Upplands Väsby;Uppsamlingsdistrikt;73;20,11;10;2,75;21;5,79;13;3,58;143;39,39;20;5,51;47;12,95;23;6,34;2;0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,83;6;1,62;1;0,27;363;370;0;0
1;14;203;Stockholms län;Upplands Väsby;Folkparken;360;26,14;57;4,14;77;5,59;59;4,28;440;31,95;92;6,68;144;10,46;78;5,66;5;0,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0,73;12;0,86;1;0,07;1377;1390;1723;80,67
